GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercice12,com.example.dto,ReservationResponse,0,37,0,0,0,3,0,2,0,2
exercice12,com.example.dto,CreateRoomRequest,0,9,0,0,0,1,0,1,0,1
exercice12,com.example.dto,CreateReservationRequest,0,15,0,0,0,1,0,1,0,1
exercice12,com.example.dto,RoomResponse,0,22,0,0,0,2,0,2,0,2
exercice12,com.example.model,Reservation,19,47,0,0,10,18,5,9,5,9
exercice12,com.example.model,Room,11,25,0,0,6,10,3,5,3,5
exercice12,com.example.model,ReservationStatus,0,15,0,0,0,3,0,1,0,1
exercice12,com.example.exception,RoomNotFoundException,0,5,0,0,0,2,0,1,0,1
exercice12,com.example.exception,ReservationConflictException,0,4,0,0,0,2,0,1,0,1
exercice12,com.example.exception,ReservationNotFoundException,0,5,0,0,0,2,0,1,0,1
exercice12,com.example.exception,InvalidReservationException,0,4,0,0,0,2,0,1,0,1
exercice12,com.example.exception,GlobalExceptionHandler,10,34,0,0,2,7,2,5,2,5
exercice12,com.example,Exercice12Application,5,3,0,0,2,1,1,1,1,1
exercice12,com.example.controller,RoomController,8,18,0,0,1,5,1,2,1,2
exercice12,com.example.controller,ReservationController,0,33,0,0,0,8,0,4,0,4
exercice12,com.example.service,RoomService,4,16,0,0,1,4,1,2,1,2
exercice12,com.example.service,ReservationService,2,122,5,13,0,22,5,11,0,7
exercice12,com.example.repository,InMemoryRoomRepository,7,39,1,1,1,8,2,3,1,3
exercice12,com.example.repository,InMemoryReservationRepository,0,53,0,2,0,11,0,6,0,5
